RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description
1557,DAQ test,06/18/2010,~,~,~,~,~,~,~,~,~,~,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,DAQ debug
1558,DAQ test,06/18/2010,~,~,~,~,~,~,~,~,~,~,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,DAQ debug
1559,Nhit thrd scan,06/18/2010,0,950,physics,Nhit,50,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data
1560,Nhit thrd scan,06/18/2010,0,1500,physics,Nhit,40,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data
1561,Nhit thrd scan,06/18/2010,0,2200,physics,Nhit,30,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data
1562,Nhit thrd scan,06/18/2010,0,2200,physics,Nhit,20,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data
1563,Nhit thrd scan,06/18/2010,0,620,physics,Nhit,60,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data
1564,Nhit thrd scan,06/18/2010,0,380,physics,Nhit,70,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data
1565,Nhit thrd scan,06/18/2010,0,100,physics,Nhit,100,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data
1566,Nhit thrd scan,06/18/2010,0,14,physics,Nhit,150,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data
1567,Nhit thrd scan,06/18/2010,0,3,physics,Nhit,180,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data
1568,Nhit thrd scan,06/18/2010,0,1,physics,Nhit,190,~,~,~,~,750,4,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,Nhit thrd scannning; no data,
1569,DAQ test,06/18/2010,20000,~,pedestal,period,~,~,~,~,~,0,5,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,disabled data recording,
1570,DAQ test,06/18/2010,20000,~,pedestal,period,~,~,~,~,~,0,5,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,disabled data recording,
1571,DAQ test,06/18/2010,20000,~,pedestal,period,~,~,~,~,~,0,5,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,disabled data recording,
1572,DAQ test,06/18/2010,20000,~,pedestal,period,~,~,~,~,~,0,5,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,disabled data recording,
1573,DAQ test,06/18/2010,20000,~,pedestal,period,~,~,~,~,~,0,5,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,disabled data recording,
1574,physics: muon+noise,06/18/2010,????,1000,physics,NHit,50,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,data recorded,short test
1575,physics:pedestal,06/18/2010,20000,~,pedestal,period,~,~,~,~,~,0,5,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,data recorded,
1576,physics: muon+noise,06/18/2010,2449573,1000,physics,NHit,50,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV increase to 2E7 for all PMT channels,data recorded,
,,,,,,,,,,,,,,,,,,~,,,,,,,
1577,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose,
1578,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose,
1579,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose,
1580,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose,
1581,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose,
1582,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose,
1583,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose
1584,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose
1585,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose
1586,error,06/19/2010,~,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose
1587,LED:pedestal,06/19/2010,20000,500,pedestal,period,~,~,~,~,~,0,5,2.00E+07,~,~,~,~,~,~,~,~,HV on; all cable connected,LED pedestal
1588,FEE:diag,06/19/2010,20000,~,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,HV off; all cable connected,FEE diagnose
1589,LED:test,06/19/2010,57798,1000,Adcalib,Nhit,20,~,~,~,~,750,5,2.00E+07,500,ACU A,-6.3,2.92,~,~,~,~,HV on; all cable connected,LED test
