RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description,,,,
5518,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e16"
5519,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.05,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e15"
5520,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.1,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e14"
5521,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.15,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e13"
5522,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.2,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e12"
5523,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.25,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e11"
5524,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.3,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e10"
5525,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.35,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e9"
5526,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.4,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e8"
5527,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.45,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e7"
5528,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.5,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e6"
5529,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.6,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e5"
5530,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.7,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e4"
