RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description,,
6611,dark AD,10/28/2010,,530,Physics,Npmt,50,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6612,dark AD,10/28/2010,,360,Physics,Npmt,60,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6613,"dark AD, preADC test, 4points",10/28/2010,,2000,Physics,period,~,~,~,~,2000,750,5,2.00E+07,~,~,~,~,~,~,~,~,,,,
6614,"dark AD, preADC test, 1point",10/28/2010,,2000,Physics,period,~,~,~,~,2000,750,5,2.00E+07,~,~,~,~,~,~,~,~,,,,
6615,"dark AD, preADC test, 1point",10/28/2010,,1230,Physics,Npmt,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,,,
6616,"dark AD, preADC test, 4points",10/28/2010,,1240,Physics,Npmt,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,,,,
6617,"dark AD, preADC test, 4points",10/28/2010,20000,1000,pedestal,period,~,~,~,~,1000,750,5,2.00E+07,~,~,~,~,~,~,~,~,,,,
6618,"dark AD, preADC test, 1points",10/28/2010,20000,1000,pedestal,period,~,~,~,~,1000,750,5,2.00E+07,~,~,~,~,~,~,~,~,,,,
6619,"dark AD,long term forced trigger",10/28/2010,11610000,2000,Physics,period,~,~,~,~,2000,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0xff,,,
6620,"Scintillator Ball at 'AD Center',long term forced trigger",10/28/2010,11000000,2000,Physics,period,~,~,~,~,2000,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0xff,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,Scintillator Ball Z scan,10/29/2010,3600000,2000,Physics,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,1.9,~,~,~,~,FADC readout scale=0xff,,,
6622,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,1.65,~,~,~,~,FADC readout scale=0xff,,,
6623,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,1.4,~,~,~,~,FADC readout scale=0xff,,,
6624,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,1.15,~,~,~,~,FADC readout scale=0xff,,,
6625,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,0.9,~,~,~,~,FADC readout scale=0xff,,,
6626,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,0.65,~,~,~,~,FADC readout scale=0xff,,,
6627,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,0.4,~,~,~,~,FADC readout scale=0xff,,,
6628,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,0.15,~,~,~,~,FADC readout scale=0xff,,,
6629,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-0.1,~,~,~,~,FADC readout scale=0xff,,,
6630,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-0.35,~,~,~,~,FADC readout scale=0xff,,,
6631,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-0.6,~,~,~,~,FADC readout scale=0xff,,,
6632,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-0.85,~,~,~,~,FADC readout scale=0xff,,,
6633,Scintillator Ball Z scan,10/29/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-1.1,~,~,~,~,FADC readout scale=0xff,,,
6634,dark AD,10/29/2010,680000,1280,Physics,Npmt,7,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6635,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,1.65,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6636,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,1.4,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6637,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,1.15,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6638,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,0.9,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6639,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,0.65,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6640,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,0.4,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6641,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,0.15,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6642,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-0.1,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6643,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-0.35,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6644,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-0.6,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6645,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-0.85,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6646,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,-1.1,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
6647,Scintillator Ball Z scan,10/29/2010,,1780,adCalib,Npmt,7,~,~,~,~,750,5,2.00E+07,~,"scintillator ball,ACU A",~,1.9,~,~,~,~,FADC readout scale=0xff,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6648,"Scintillator Ball Z scan,ACU B",11/05/2010,,1000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,1.9,~,~,~,~,FADC readout scale=0xff,,"trigger duration 500us from 800ns, for maximum trigger rates 2kHz",
6649,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,1.65,~,~,~,~,FADC readout scale=0xff,,,
6650,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,1.4,~,~,~,~,FADC readout scale=0xff,,,
6651,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,1.15,~,~,~,~,FADC readout scale=0xff,,,
6652,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,0.9,~,~,~,~,FADC readout scale=0xff,,,
6653,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,0.65,~,~,~,~,FADC readout scale=0xff,,,
6654,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,0.4,~,~,~,~,FADC readout scale=0xff,,,
6655,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,0.15,~,~,~,~,FADC readout scale=0xff,,,
6656,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,-0.1,~,~,~,~,FADC readout scale=0xff,,,
6657,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,-0.35,~,~,~,~,FADC readout scale=0xff,,,
6658,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,-0.6,~,~,~,~,FADC readout scale=0xff,,,
6659,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,-0.85,~,~,~,~,FADC readout scale=0xff,,,
6660,"Scintillator Ball Z scan,ACU B",11/05/2010,,2000,adCalib,period,~,~,~,~,2000,750,5,2.00E+07,~,"scintillator ball,ACU B",~,-1.1,~,~,~,~,FADC readout scale=0xff,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6661,dark AD,11/06/2010,,2000,physics,period,~,~,~,~,2000,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0xff,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
6662,"AD lid sensor off, dark AD, FADC prescale error",11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0xff,,,
6663,"AD lid sensor off, dark AD",11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,,
6664,"AD lid sensor on, dark AD",11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,,
6665,system test,11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"just stop, then start",
6666,system test,11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"just stop, then start",
6667,system test,11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"just stop, then start",
6668,system test,11/08/2010,,800,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"just stop, then start",
6669,system test,11/08/2010,,800,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"just stop, then start",
6670,system test,11/08/2010,,800,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"just stop, then start",
