RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description
6957,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.7,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6958,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.8,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6959,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.9,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6960,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,1min,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6961,MO mid LED intensity scan: FEE in slot 5 noise,2011-Jan-24,30s,1260,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-5.1,~,~,~,~,~,without FADC,"FEE in slot 5 shows period noise, sine ~200MHz in baseline while TDC spectrum shows 40MHz noise"
6962,"MO mid LED intensity scan: DAQ error, test",2011-Jan-24,2min,?,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.1,~,~,~,~,~,without FADC,DAQ error because of forced stop
6963,"MO mid LED intensity scan: DAQ error, test",2011-Jan-24,2min,?,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.2,~,~,~,~,~,without FADC,DAQ error because of forced stop
6964,"MO mid LED intensity scan: DAQ error, test",2011-Jan-24,2min,?,ADCalib,crossIn +Nhit + totalESum+ period,40,40,~,~,100,750,5,2.00E+07,500,MO mid,-4.3,~,~,~,~,~,without FADC,DAQ error because of forced stop
6965,MO mid LED intensity scan,2011-Jan-24,2min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-4.1,~,~,~,~,~,without FADC,
6966,MO mid LED intensity scan,2011-Jan-24,2min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-4.2,~,~,~,~,~,without FADC,
6967,MO mid LED intensity scan,2011-Jan-24,2min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-4.3,~,~,~,~,~,without FADC,
6968,MO mid LED intensity scan,2011-Jan-24,2min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-4.4,~,~,~,~,~,without FADC,
6969,MO mid LED intensity scan,2011-Jan-24,2min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-4.5,~,~,~,~,~,without FADC,
6970,MO mid LED intensity scan,2011-Jan-24,1min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-4.7,~,~,~,~,~,without FADC,
6971,MO mid LED intensity scan,2011-Jan-24,1min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-4.7,~,~,~,~,~,without FADC,
6972,MO mid LED intensity scan,2011-Jan-24,1min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-4.8,~,~,~,~,~,without FADC,
6973,MO mid LED intensity scan,2011-Jan-24,1min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-4.9,~,~,~,~,~,without FADC,
6974,MO mid LED intensity scan,2011-Jan-24,1min,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-5,~,~,~,~,~,without FADC,
6975,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-5.1,~,~,~,~,~,without FADC,
6976,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-5.2,~,~,~,~,~,without FADC,
6977,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-5.3,~,~,~,~,~,without FADC,
6978,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-5.4,~,~,~,~,~,without FADC,
6979,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-5.5,~,~,~,~,~,without FADC,
6980,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-5.6,~,~,~,~,~,without FADC,
6981,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-5.8,~,~,~,~,~,without FADC,
6982,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-6,~,~,~,~,~,without FADC,
6983,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-6.2,~,~,~,~,~,without FADC,
6984,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-6.4,~,~,~,~,~,without FADC,
6985,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-6.6,~,~,~,~,~,without FADC,
6986,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-6.8,~,~,~,~,~,without FADC,
6987,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-7,~,~,~,~,~,without FADC,
6988,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-7.2,~,~,~,~,~,without FADC,
6989,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-7.5,~,~,~,~,~,without FADC,
6990,MO mid LED intensity scan,2011-Jan-24,30s,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-7.8,~,~,~,~,~,without FADC,
6991,MO mid LED intensity scan,2011-Jan-24,,500,ADCalib,crossIn,~,~,~,~,100,750,5,2.00E+07,500,MO mid,-8,~,~,~,~,~,without FADC,
